id,code,name,amount,State
,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",908502.09,AL
,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,904482.0,AL
,621112,"Offices of Physicians, Mental Health Specialists",871530.84,AL
,624221,Temporary Shelters,870525.0,AL
,331110,Iron and Steel Mills and Ferroalloy Manufacturing,869798.72,AL
,339920,Sporting and Athletic Goods Manufacturing,868591.39,AL
,484220,"Specialized Freight (except Used Goods) Trucking, Local",849586.72,AL
,311511,Fluid Milk Manufacturing,819373.82,AL
,339114,Dental Equipment and Supplies Manufacturing,775403.16,AL
,334310,Audio and Video Equipment Manufacturing,775138.45,AL
,491110,Postal Service,773532.33,AL
,621511,Medical Laboratories,773279.22,AL
,561611,Investigation Services,770908.88,AL
,562991,Septic Tank and Related Services,761209.85,AL
,336412,Aircraft Engine and Engine Parts Manufacturing,751986.01,AL
,332996,Fabricated Pipe and Pipe Fitting Manufacturing,749783.05,AL
,333921,Elevator and Moving Stairway Manufacturing,733420.29,AL
,488119,Other Airport Operations,722041.0,AL
,561710,Exterminating and Pest Control Services,721844.57,AL
,332991,Ball and Roller Bearing Manufacturing,703168.97,AL
,213112,Support Activities for Oil and Gas Operations,694555.0,AL
,339991,"Gasket, Packing, and Sealing Device Manufacturing",691376.5,AL
,211111,Crude Petroleum and Natural Gas Extraction,687806.67,AL
,561510,Travel Agencies,675209.41,AL
,623220,Residential Mental Health and Substance Abuse Facilities,674801.0,AL
,519130,Internet Publishing and Broadcasting and Web Search Portals,673456.0,AL
,812930,Parking Lots and Garages,671728.25,AL
,624229,Other Community Housing Services,649163.93,AL
,561421,Telephone Answering Services,638688.56,AL
,517210,Wireless Telecommunications Carriers (except Satellite),636338.07,AL
,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",633700.04,AL
,332911,Industrial Valve Manufacturing,631695.52,AL
,541219,Other Accounting Services,595086.78,AL
,336214,Travel Trailer and Camper Manufacturing,592764.1,AL
,332420,Metal Tank (Heavy Gauge) Manufacturing,588609.13,AL
,541211,Offices of Certified Public Accountants,586927.19,AL
,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",583170.32,AL
,561492,Court Reporting and Stenotype Services,576589.31,AL
,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,546432.14,AL
,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",543544.63,AL
,332439,Other Metal Container Manufacturing,529895.23,AL
,334412,Bare Printed Circuit Board Manufacturing,526351.28,AL
,336340,Motor Vehicle Brake System Manufacturing,509299.41,AL
,332216,Saw Blade and Handtool Manufacturing,507683.9,AL
,488210,Support Activities for Rail Transportation,507587.6,AL
,519190,All Other Information Services,506062.94,AL
,332613,Spring Manufacturing,505721.08,AL
,238110,Poured Concrete Foundation and Structure Contractors,503796.0,AL
,311612,Meat Processed from Carcasses,497021.1,AL
,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",487491.87,AL
,333241,Food Product Machinery Manufacturing,468716.61,AL
,238330,Flooring Contractors,460054.0,AL
,327331,Concrete Block and Brick Manufacturing,457960.83,AL
,484210,Used Household and Office Goods Moving,445975.21,AL
,333611,Turbine and Turbine Generator Set Units Manufacturing,444924.55,AL
,541350,Building Inspection Services,443554.53,AL
,541910,Marketing Research and Public Opinion Polling,434494.0,AL
,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",429770.0,AL
,332321,Metal Window and Door Manufacturing,426847.14,AL
,811111,General Automotive Repair,416962.18,AL
,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",394719.6,AL
,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,393037.95,AL
,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),389875.04,AL
,561790,Other Services to Buildings and Dwellings,388340.2,AL
,333515,Cutting Tool and Machine Tool Accessory Manufacturing,381507.33,AL
,336360,Motor Vehicle Seating and Interior Trim Manufacturing,366505.84,AL
,333992,Welding and Soldering Equipment Manufacturing,362327.81,AL
,238320,Painting and Wall Covering Contractors,356846.29,AL
,332311,Prefabricated Metal Building and Component Manufacturing,354399.86,AL
,316998,All Other Leather Good and Allied Product Manufacturing,336889.55,AL
,334516,Analytical Laboratory Instrument Manufacturing,335115.52,AL
,541850,Outdoor Advertising,332742.04,AL
,562119,Other Waste Collection,331094.15,AL
,424120,Stationery and Office Supplies Merchant Wholesalers,329119.66,AL
,335929,Other Communication and Energy Wire Manufacturing,321015.17,AL
,334417,Electronic Connector Manufacturing,316106.47,AL
,312112,Bottled Water Manufacturing,315717.85,AL
,441210,Recreational Vehicle Dealers,314940.87,AL
,333995,Fluid Power Cylinder and Actuator Manufacturing,296851.18,AL
,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",290939.21,AL
,337127,Institutional Furniture Manufacturing,288839.65,AL
,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",287270.69,AL
,424340,Footwear Merchant Wholesalers,279768.75,AL
,334413,Semiconductor and Related Device Manufacturing,270706.87,AL
,331221,Rolled Steel Shape Manufacturing,267289.67,AL
,517911,Telecommunications Resellers,265635.14,AL
,333996,Fluid Power Pump and Motor Manufacturing,264565.0,AL
,561431,Private Mail Centers,263993.54,AL
,238120,Structural Steel and Precast Concrete Contractors,260100.57,AL
,333111,Farm Machinery and Equipment Manufacturing,258950.37,AL
,314910,Textile Bag and Canvas Mills,258943.01,AL
,311615,Poultry Processing,254091.19,AL
,811212,Computer and Office Machine Repair and Maintenance,250114.15,AL
,332322,Sheet Metal Work Manufacturing,248849.79,AL
,326220,Rubber and Plastics Hoses and Belting Manufacturing,248190.51,AL
,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,242365.87,AL
,238140,Masonry Contractors,242276.62,AL
,325510,Paint and Coating Manufacturing,237357.6,AL
,311611,Animal (except Poultry) Slaughtering,232937.59,AL
,624190,Other Individual and Family Services,228958.26,AL
,315992,Glove and Mitten Manufacturing,227433.92,AL
,541618,Other Management Consulting Services,226914.64,AL
,515210,Cable and Other Subscription Programming,222041.99,AL
,621310,Offices of Chiropractors,218899.2,AL
,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),218670.58,AL
,327390,Other Concrete Product Manufacturing,217621.0,AL
,336370,Motor Vehicle Metal Stamping,216668.93,AL
,624120,Services for the Elderly and Persons with Disabilities,211430.62,AL
,721211,RV (Recreational Vehicle) Parks and Campgrounds,210619.0,AL
,561422,Telemarketing Bureaus and Other Contact Centers,208788.0,AL
,331318,"Other Aluminum Rolling, Drawing, and Extruding",207668.8,AL
,813110,Religious Organizations,207646.32,AL
,333922,Conveyor and Conveying Equipment Manufacturing,202500.87,AL
,611699,All Other Miscellaneous Schools and Instruction,199445.51,AL
,541810,Advertising Agencies,196000.0,AL
,333318,Other Commercial and Service Industry Machinery Manufacturing,190942.99,AL
,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",186400.2,AL
,488991,Packing and Crating,185080.16,AL
,444190,Other Building Material Dealers,181116.02,AL
,333991,Power-Driven Handtool Manufacturing,180799.86,AL
,924110,Administration of Air and Water Resource and Solid Waste Management Programs,178146.65,AL
,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,176885.94,AL
,541820,Public Relations Agencies,175057.2,AL
,335912,Primary Battery Manufacturing,173235.0,AL
,444130,Hardware Stores,169255.18,AL
,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,166248.64,AL
,333249,Other Industrial Machinery Manufacturing,161514.47,AL
,621320,Offices of Optometrists,161318.4,AL
,517311,Wired Telecommunications Carriers,160887.0,AL
,325520,Adhesive Manufacturing,160652.07,AL
,337211,Wood Office Furniture Manufacturing,159133.59,AL
,562112,Hazardous Waste Collection,159054.78,AL
,541921,"Photography Studios, Portrait",153928.96,AL
,236118,Residential Remodelers,153369.15,AL
,333512,Machine Tool (Metal Cutting Types) Manufacturing,153368.09,AL
,332919,Other Metal Valve and Pipe Fitting Manufacturing,150415.14,AL
,332913,Plumbing Fixture Fitting and Trim Manufacturing,145744.98,AL
,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,144295.98,AL
,331420,"Copper Rolling, Drawing, Extruding, and Alloying",143181.26,AL
,611519,Other Technical and Trade Schools,141383.42,AL
,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",139636.97,AL
,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",137770.56,AL
,532420,Office Machinery and Equipment Rental and Leasing,137175.88,AL
,424410,General Line Grocery Merchant Wholesalers,137045.86,AL
,315280,Other Cut and Sew Apparel Manufacturing,136062.76,AL
,454310,Fuel Dealers,135209.39,AL
,333517,Machine Tool Manufacturing,132302.24,AL
,562998,All Other Miscellaneous Waste Management Services,130547.17,AL
,335921,Fiber Optic Cable Manufacturing,128180.65,AL
,444210,Outdoor Power Equipment Stores,127345.33,AL
,333314,Optical Instrument and Lens Manufacturing,126863.0,AL
,314110,Carpet and Rug Mills,125272.06,AL
,325120,Industrial Gas Manufacturing,124496.54,AL
,335129,Other Lighting Equipment Manufacturing,124131.71,AL
,541199,All Other Legal Services,123070.33,AL
,238390,Other Building Finishing Contractors,122552.0,AL
,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,121964.04,AL
,238160,Roofing Contractors,121680.13,AL
,237110,Water and Sewer Line and Related Structures Construction,112201.98,AL
,333912,Air and Gas Compressor Manufacturing,111649.54,AL
,238350,Finish Carpentry Contractors,111000.0,AL
,624230,Emergency and Other Relief Services,110338.92,AL
,562211,Hazardous Waste Treatment and Disposal,110174.36,AL
,321113,Sawmills,109000.02,AL
,335911,Storage Battery Manufacturing,107896.06,AL
,332618,Other Fabricated Wire Product Manufacturing,107025.53,AL
,541714,Research and Development in Biotechnology (except Nanobiotechnology),104998.0,AL
,325612,Polish and Other Sanitation Good Manufacturing,101018.95,AL
,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,98438.0,AL
,221118,Other Electric Power Generation,98183.0,AL
,321114,Wood Preservation,97270.0,AL
,541930,Translation and Interpretation Services,94835.26,AL
,337122,Nonupholstered Wood Household Furniture Manufacturing,94272.64,AL
,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,93118.7,AL
,311710,Seafood Product Preparation and Packaging,93002.0,AL
,326122,Plastics Pipe and Pipe Fitting Manufacturing,91918.66,AL
,813410,Civic and Social Organizations,90354.2,AL
,811118,Other Automotive Mechanical and Electrical Repair and Maintenance,89170.16,AL
,325199,All Other Basic Organic Chemical Manufacturing,89064.13,AL
,712110,Museums,87630.72,AL
,423830,Industrial Machinery and Equipment Merchant Wholesalers,87052.09,AL
,333913,Measuring and Dispensing Pump Manufacturing,84710.92,AL
,423710,Hardware Merchant Wholesalers,84521.53,AL
,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",84018.5,AL
,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",80111.87,AL
,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,78839.59,AL
,315190,Other Apparel Knitting Mills,78540.08,AL
,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",77980.0,AL
,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,77743.0,AL
,711130,Musical Groups and Artists,76870.0,AL
,511130,Book Publishers,72233.7,AL
,811412,Appliance Repair and Maintenance,71891.43,AL
,332912,Fluid Power Valve and Hose Fitting Manufacturing,71528.86,AL
,332323,Ornamental and Architectural Metal Work Manufacturing,71407.34,AL
,339950,Sign Manufacturing,70065.77,AL
,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,68529.6,AL
,212321,Construction Sand and Gravel Mining,68426.42,AL
,541410,Interior Design Services,67882.0,AL
,337121,Upholstered Household Furniture Manufacturing,67023.44,AL
,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",66578.5,AL
,336510,Railroad Rolling Stock Manufacturing,64171.26,AL
,311119,Other Animal Food Manufacturing,63255.84,AL
,326111,Plastics Bag and Pouch Manufacturing,62306.0,AL
,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,60519.54,AL
,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",59745.0,AL
,315210,Cut and Sew Apparel Contractors,58712.68,AL
,811420,Reupholstery and Furniture Repair,58366.34,AL
,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",58150.0,AL
,332721,Precision Turned Product Manufacturing,56860.65,AL
,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,56454.8,AL
,334514,Totalizing Fluid Meter and Counting Device Manufacturing,56412.93,AL
,532111,Passenger Car Rental,55989.45,AL
,562212,Solid Waste Landfill,55732.52,AL
,531320,Offices of Real Estate Appraisers,55065.0,AL
,519120,Libraries and Archives,54179.0,AL
,313230,Nonwoven Fabric Mills,54170.5,AL
,311613,Rendering and Meat Byproduct Processing,53928.0,AL
,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",53233.72,AL
,335314,Relay and Industrial Control Manufacturing,50443.72,AL
,332112,Nonferrous Forging,50166.49,AL
,311513,Cheese Manufacturing,50074.91,AL
,488410,Motor Vehicle Towing,50000.0,AL
,511120,Periodical Publishers,49631.0,AL
,922160,Fire Protection,47213.9,AL
,332410,Power Boiler and Heat Exchanger Manufacturing,47210.63,AL
,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",45695.57,AL
,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,45098.56,AL
,611513,Apprenticeship Training,45000.0,AL
,322219,Other Paperboard Container Manufacturing,44463.05,AL
,327910,Abrasive Product Manufacturing,43918.1,AL
,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),43062.0,AL
,337125,Household Furniture (except Wood and Metal) Manufacturing,42045.48,AL
,531390,Other Activities Related to Real Estate,41442.28,AL
,485510,Charter Bus Industry,39839.0,AL
,811211,Consumer Electronics Repair and Maintenance,39680.0,AL
,446110,Pharmacies and Drug Stores,39348.53,AL
,333132,Oil and Gas Field Machinery and Equipment Manufacturing,38503.26,AL
,541890,Other Services Related to Advertising,38500.0,AL
,238310,Drywall and Insulation Contractors,38120.76,AL
,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,38079.11,AL
,531190,Lessors of Other Real Estate Property,37316.4,AL
,484121,"General Freight Trucking, Long-Distance, Truckload",36800.0,AL
,335221,Household Cooking Appliance Manufacturing,36163.26,AL
,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,35069.1,AL
,561613,Armored Car Services,34841.75,AL
,332111,Iron and Steel Forging,34394.69,AL
,327211,Flat Glass Manufacturing,34096.0,AL
,921190,Other General Government Support,33557.53,AL
,325611,Soap and Other Detergent Manufacturing,33350.0,AL
,541110,Offices of Lawyers,33111.18,AL
,333316,Photographic and Photocopying Equipment Manufacturing,31991.67,AL
,326140,Polystyrene Foam Product Manufacturing,31810.63,AL
,811198,All Other Automotive Repair and Maintenance,31404.98,AL
,812910,Pet Care (except Veterinary) Services,31000.0,AL
,922190,"Other Justice, Public Order, and Safety Activities",29640.0,AL
,924120,Administration of Conservation Programs,29528.0,AL
,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,29396.48,AL
,443142,Electronics Stores,29292.0,AL
