State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Hawaii,20157114,1637574,4390352,3755916,3755916,1650853,0.4764854654663162,0.6418672695088632,8.124049901191212,0.38462442125049995,21.780657687405053,0.3280745773866448,18.63320314604561,0.3280745773866448,18.63320314604561,0.6691016136066289,8.189927387422625
Iowa,40433746,1333869,12229380,11787715,11787715,3480788,0.9557961662248278,0.5228263595492587,3.2989003789062727,1.0713761003109634,30.2454786158077,1.029642200991506,29.153160827591883,1.029642200991506,29.153160827591883,1.4107863434373566,8.608621125532123
Idaho,16686160,248692,4469966,4280549,4280549,1514717,0.3944370565372318,0.09747788801525806,1.4904088178466466,0.39159914415960556,26.788464212257345,0.3739006154977441,25.653289912118787,0.3739006154977441,25.653289912118787,0.6139247945500853,9.077684739928179
Illinois,165363911,8305230,34754600,41904571,41904571,10525652,3.9089673305496753,3.255337042932469,5.022395726961247,3.0447371670409633,21.017040410951576,3.6603120041538872,25.340819980969126,3.6603120041538872,25.340819980969126,4.266116206265391,6.365144568938019
Indiana,69568981,2739523,23649201,20439873,20439873,3957584,1.644511624719804,1.0737897327184782,3.9378512673629644,2.0718293767018556,33.99388730445829,1.7853974093967204,29.380727885032552,1.7853974093967204,29.380727885032552,1.6040349082466925,5.688719229623329
Kansas,33461714,1512896,9731594,10648963,10648963,1942888,0.790987259911848,0.5929981940180298,4.521274672301604,0.8525532144335666,29.082772030147648,0.930173634296139,31.824320176784727,0.930173634296139,31.824320176784727,0.7874653260205215,5.806301494298827
Kentucky,50421217,2086827,17106961,13307992,13307992,2838920,1.1918857556504932,0.8179575081354322,4.138787447355743,1.4986850653386958,33.928100148792524,1.1624365005140822,26.39363504454881,1.1624365005140822,26.39363504454881,1.1506330078451146,5.6304075326067595
Louisiana,53405831,1409268,17512940,13117919,13117919,2854352,1.2624377796667925,0.5523799249171131,2.6387905095981,1.534251561582017,32.79218705537978,1.1458338610653802,24.5627092667091,1.1458338610653802,24.5627092667091,1.1568876992689892,5.344644857225422
Massachusetts,108759552,7219242,29675882,25326914,25326914,4409231,2.570920904581282,2.8296706899741353,6.637800420509271,2.5998072453753434,27.28577072476356,2.2122743445428217,23.287070914010386,2.2122743445428217,23.287070914010386,1.7870904174171593,4.054109196771977
Maryland,81013527,4101974,18300616,23342624,23342624,3972954,1.9150443918540607,1.6078191586922788,5.063319857682533,1.6032572872352011,22.589580626455135,2.038949088290407,28.813242509488568,2.038949088290407,28.813242509488568,1.6102644706614766,4.904062503043473
Maine,15096532,203326,4462940,3977567,3977567,1231713,0.3568605147020123,0.07969612636751629,1.3468391283508028,0.3909836192122423,29.562683668010642,0.34743551574424575,26.347554524443094,0.34743551574424575,26.347554524443094,0.4992214060248015,8.15891358359655
Michigan,115916113,4189383,30509437,34153135,34153135,6480115,2.7400918136322048,1.6420801912688219,3.6141506918887107,2.672832280601553,26.320272661316725,2.9832337388679693,29.463664814226476,2.9832337388679693,29.463664814226476,2.626433366784638,5.590348772305711
Minnesota,78062170,3341181,22168757,21122506,21122506,6161862,1.8452785159502847,1.3096169854949413,4.280153882475981,1.9421325057690069,28.398847995130033,1.845024550415097,27.058568830459105,1.845024550415097,27.058568830459105,2.4974433259783697,7.893531527499172
Missouri,62086659,2743494,17867638,16922863,16922863,3329078,1.4676401896056872,1.0753462150070465,4.418814032173965,1.5653254966488883,28.77854645069563,1.4781909730934046,27.256842730094398,1.4781909730934046,27.256842730094398,1.34929727941999,5.3619860588729695
