State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Agriculture, Forestry, Fishing and Hunting (as % of Total Funding Received by State)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (as % of Total Funding Received by State)",Utilities (State as % of US),Utilities (as % of Total Funding Received by State),Construction (State as % of US),Construction (as % of Total Funding Received by State),Manufacturing (State as % of US),Manufacturing (as % of Total Funding Received by State),Wholesale Trade (State as % of US),Wholesale Trade (as % of Total Funding Received by State),Retail Trade (State as % of US),Retail Trade (as % of Total Funding Received by State),Transportation and Warehousing (State as % of US),Transportation and Warehousing (as % of Total Funding Received by State),Information (State as % of US),Information (as % of Total Funding Received by State),Finance and Insurance (State as % of US),Finance and Insurance (as % of Total Funding Received by State),Real Estate and Rental and Leasing (State as % of US),Real Estate and Rental and Leasing (as % of Total Funding Received by State),"Professional, Scientific, and Technical Services (State as % of US)","Professional, Scientific, and Technical Services (as % of Total Funding Received by State)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Administrative and Support and Waste Management and Remediation Services (as % of Total Funding Received by State),Educational Services (State as % of US),Educational Services (as % of Total Funding Received by State),Health Care and Social Assistance (State as % of US),Health Care and Social Assistance (as % of Total Funding Received by State),"Arts, Entertainment, and Recreation (State as % of US)","Arts, Entertainment, and Recreation (as % of Total Funding Received by State)",Accommodation and Food Services (State as % of US),Accommodation and Food Services (as % of Total Funding Received by State),Other Services (except Public Administration) (State as % of US),Other Services (except Public Administration) (as % of Total Funding Received by State),Public Administration (not covered in economic census) (State as % of US),Public Administration (not covered in economic census) (as % of Total Funding Received by State)
Hawaii,1992609.0,0.046331340205138107,0.022884569928169552,0.011990258948247562,0.0014553783506949932,1.8331477330832613,1.8207786876401744,1.8674556565691607,40.63130298016319,0.08398866081163577,10.286162513568895,0.0018132766082385424,0.01254636509219822,0.016379468248488863,0.009334495628595474,0.19255123983848862,1.8771871450946973,0.1096373797751352,0.8163668838191538,0.0,0.0,0.2020862864827536,0.09766090587767093,0.25926304618506046,24.433845275214555,0.5807676784453073,15.414915821418052,0.40017799142129784,0.9288325005056185,0.20050606178743635,1.774758620481991,1.943382608463204,0.1824241484405621,1.5829185051542582,1.182670559050973,0.2445892410397175,0.4634627265058022,0.1481390143360889,0.04341042321900584
Iowa,2541092.0,0.17740026315388405,0.06871061732514998,0.03762460566519062,0.003581137558183647,0.2761772142177202,0.21510437245089906,0.3928119208191771,6.701882497760805,0.7445332545604221,71.50205502201416,0.009037370615460895,0.04903403733512993,0.008982289039493893,0.004014022317964088,0.06356430181862471,0.48593281943353483,0.015508428773749684,0.09055162111407222,0.011980053908380885,0.10129503378862317,0.10249700141751172,0.03884156890029956,0.19570493707512363,14.46287659006443,0.1942352399614842,4.042671418429557,0.31263094758809945,0.5690073401513995,0.1301327658111424,0.9032337278618798,1.770162260418616,0.1302983126939127,0.0404360918315736,0.023690602307984126,0.368380265687215,0.5473631021623775,0.26048490266496094,0.05985615632964096
Idaho,3529413.0,2.542229086124475,0.7089280852085035,0.8723947027862882,0.05978331240917399,0.06659377393687435,0.03734332026317124,0.6778376215933742,8.326370419103686,0.3495358075800083,24.168183207802542,0.0007543230690272337,0.0029466656353336943,0.009422597325743591,0.0030316656055837045,0.24757543988216205,1.3626628564013337,0.015751063904499353,0.06621497682475812,0.0,0.0,2.2718610942359714,0.6198481163864925,0.7996337106915453,42.54631010879146,1.4239367138902135,21.337769198447447,0.0712441366832276,0.0933583006579281,0.057179720425469274,0.28574156665711836,0.2480686465823732,0.013146662065334944,0.6092953305717677,0.2570115767126148,0.07895187087594996,0.08446163710509368,0.1625247683294201,0.026888323922419962
Illinois,14778551.0,0.21834660109833726,0.014541344411911562,1.4900997672235934,0.024386693932307708,1.178679482852356,0.15785038736206278,5.081876931525373,14.908186871635792,1.9795037721281332,32.68731826279856,12.910478678913393,12.044435208837456,18.89838389246615,1.4521315384708555,1.5879698947770922,2.087342663025624,0.43013816790121895,0.43184206624857874,0.13549003470352602,0.19698142260360976,2.605417698646354,0.169766305235202,2.331147919379055,29.62178768405644,0.6131339158651021,2.1942408291584203,0.6862788765783441,0.21477071737276543,2.5428334788198605,3.0347291828542593,0.11387633991820151,0.0014412779710270649,1.2482124493457347,0.12574304476805606,2.3443752949770085,0.5989558786920315,0.8491020035587614,0.03354862056503374
Indiana,5698176.0,0.12791920464532647,0.02209478963092751,0.12693136196937937,0.005387688972751983,0.23893926930764706,0.08299146955095807,0.573165276940235,4.360904261293438,1.8008837808591218,77.12668053777209,0.49395105429704494,1.1951543792259136,0.04182928719372156,0.008336000853606487,0.2047204987872438,0.6979250904148976,0.31530435240919497,0.820999561965092,0.863797259136804,3.257059802996608,0.4416613445072719,0.0746379192218703,0.24338736413393156,8.021128164521418,0.15768283303313543,1.4635560572365613,0.31669586342920625,0.2570471673742615,0.6822898558810235,2.1118687804658896,0.12563821540271058,0.004124126738100052,0.2303916860171054,0.060194700900779476,0.6071957704468395,0.4023392748837523,0.2690478514705152,0.027570225981085876
Kansas,3492234.0,0.666521034530057,0.18784537347726413,0.6139839495912975,0.04252292372160628,1.0407929812789642,0.5898516536978908,0.3640558582191179,4.5195711398491625,0.4286792918210592,29.956010966046374,0.09242633527513498,0.3648953649726794,0.1751546362701309,0.05695494631803023,0.41018741997193664,2.281719953473908,0.0427240026061709,0.1815170461085941,0.006646276993460724,0.040890730689867864,0.11651634811595557,0.03212843125632475,0.6681306857518781,35.927861649591634,1.584648563884823,23.99885001978676,0.1383152480614892,0.1831778741058016,0.20054575023988833,1.0128473636073643,0.0668288379801652,0.0035793706836368924,0.5020254989189055,0.2140177319160171,0.3192770222776171,0.3451945087299419,0.3622127344749457,0.06056295196713622
Kentucky,9941054.0,0.2040204630085906,0.020199065410971512,2.429474537238023,0.059108420495452486,1.9755310828208275,0.39330839566911113,0.9040641286721586,3.9427509396890916,0.19677014399574647,4.830383176673218,0.03646861914489357,0.050578137891615915,0.10047835092218169,0.011477656192190485,1.9379184534045562,3.7869223927362228,0.007979999855766895,0.011910205899696349,31.317052405940636,67.68590131388483,0.1164125011033745,0.011276470281722642,0.10943586416420732,2.0672858230123285,2.73820297159043,14.567801361907904,1.764130231254792,0.8207379217535686,0.6386495675206034,1.1330891070504194,0.5757972680371034,0.010833861278693386,2.433352655784746,0.36441809892592875,0.46105138148558766,0.1751122164712112,0.9688120278604103,0.05690543477582961
Louisiana,3620446.0,0.6642857505727916,0.18058548587660195,3.4407908609419384,0.22986118284874296,0.4989985670717535,0.2727840713547447,2.202893846650079,26.37934663298389,0.6187451112336411,41.70657427289345,0.03793374664435031,0.14445734033873175,0.11007707156242515,0.034526132968148125,1.2332030508805776,6.6169195728924,0.043162093814468915,0.17688428442241647,0.10406450090811507,0.6175758456278592,0.8661879319386679,0.23038598006985878,0.1375848068705679,7.13644120089072,0.9739064747714463,14.227086939012487,0.18547259619688203,0.23693213488061968,0.2321377583916697,1.130882769691911,0.016038921115239645,0.000828627191235555,1.1319418929330205,0.4654675142233857,0.18102517190107947,0.18878889506983393,0.14676894252720019,0.023671116762962352
Massachusetts,26817669.0,1.0695833735515106,0.03925397095474629,0.045480292562318336,0.000410177334950327,4.948402456794889,0.36519579684572884,1.985499212812301,3.2098240902294677,6.484086639591975,59.0041550591142,9.177594922129199,4.7182810705882,4.864437884829442,0.20597987095746462,0.3112684352175883,0.22547448102219472,1.893996350902431,1.0478688509430107,0.8206755810244696,0.6575068101556477,0.8671225550518975,0.031136188607593002,3.516320595737512,24.62298643480162,0.5229932450652832,1.0314207398115025,1.6019876573587302,0.2762768083982243,3.55068771016453,2.335206687799749,0.3362827127161913,0.002345468578943233,0.22763773291894174,0.012637190801333256,14.858471951559943,2.091956612634752,5.6070188778769365,0.12208369042067005
Maryland,42435387.0,0.3314316485727204,0.007686980679591775,0.15504645191699432,0.000883696430057301,4.822339129046405,0.22491134580674377,7.94478319308131,8.116829475362154,2.0786307412996403,11.953745113718416,10.483313648402474,3.4060134764412537,9.99931311907345,0.26758092249753723,3.567965980435085,1.6333372899368162,10.528558390784502,3.6812012578087243,10.538910205120956,5.336018262305467,12.424879667274173,0.28194864818836224,11.39584020280658,50.43029064398541,9.244775314442023,11.522029951087756,5.135783324417907,0.5597380318459214,3.023058083709977,1.2564702190650459,19.396401935363148,0.08549468395327701,15.875666406272565,0.5569691163650753,7.436280993442837,0.6616482606839429,1.2501905256109236,0.017202623838448793
