State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Hawaii,17777830,1184125,4113144,3696335,3696335,1566453,0.46555833015604453,0.49217030355634517,6.660683559242045,0.40388076689066316,23.13636703692183,0.3487996481821306,20.79182329901906,0.3487996481821306,20.79182329901906,0.6757575063424538,8.811272241887789
Iowa,36165573,1295146,10845002,11193214,11193214,3007518,0.9470888052713143,0.5383151271781157,3.5811571407979628,1.0649001651026018,29.98708744363044,1.0562324857534013,30.94991471585422,1.0562324857534013,30.94991471585422,1.2974234553861774,8.315969444200427
Idaho,14100211,248720,3783998,3916213,3916213,1083252,0.3692503915274188,0.10337810442354835,1.7639452345784044,0.3715610282919187,26.836463652919807,0.36954813798161856,27.774144656416844,0.36954813798161856,27.774144656416844,0.46730777767381193,7.682523332452259
Illinois,152883833,7943917,28600467,39860114,39860114,9707294,4.0036574767187885,3.3018136103168256,5.196047773082717,2.8083574378604554,18.707319432526262,3.7613456950464768,26.072157675429292,3.7613456950464768,26.072157675429292,4.1876626919371756,6.349457499538228
Indiana,61415845,2670634,20411307,18962125,18962125,2985033,1.608332301710752,1.1100236431693415,4.348444607413608,2.004241603114494,33.23459442754553,1.789335254728152,30.874972085786656,1.789335254728152,30.874972085786656,1.287723574489585,4.860362989388162
Kansas,30815281,1596307,8743482,10107647,10107647,1841227,0.8069776100710429,0.663489834906888,5.180244827233605,0.8585462156089623,28.373851272036106,0.9537944254374042,32.80076206347104,0.9537944254374042,32.80076206347104,0.7942932000707312,5.975045303010542
Kentucky,46165009,2080014,15397205,13092892,13092892,2499639,1.208949826929314,0.8645380528081476,4.505607266317223,1.511893326217792,33.352544131422135,1.2354930284421277,28.361073210231584,1.2354930284421277,28.361073210231584,1.0783278000657184,5.414574921885102
Louisiana,49824003,1341117,16046887,12400987,12400987,3211816,1.3047700218963594,0.5574225364674971,2.6917086529558856,1.575687364159342,32.20714120461176,1.170202349817096,24.88958384174792,1.170202349817096,24.88958384174792,1.385556266923294,6.446322669015575
Massachusetts,96084632,6845424,27431956,23699940,23699940,4177919,2.5162239051435433,2.845235433802927,7.124369274786837,2.693618173006082,28.549785151906498,2.2364127531561953,24.66569263646657,2.2364127531561953,24.66569263646657,1.8023267376300203,4.34816568793228
Maryland,72286591,3586453,15628366,21501031,21501031,4241315,1.8930108229538116,1.4906751075271318,4.961436070487817,1.5345916518672738,21.620006952603426,2.028915682250955,29.74414853786645,2.028915682250955,29.74414853786645,1.8296753544554765,5.8673606561416065
Maine,13390531,199490,3890099,3730470,3730470,1042674,0.350665590359608,0.08291612275431674,1.489784086979075,0.38197937329706955,29.05111828649663,0.352020751245218,27.859014702254896,0.352020751245218,27.859014702254896,0.4498026957515557,7.786651627183418
Michigan,103318659,3848616,27308003,32734591,32734591,5287488,2.7056655597450185,1.5996406671523757,3.724996082266224,2.6814468916946574,26.430853114344043,3.088955363674001,31.683135763502314,3.088955363674001,31.683135763502314,2.280987495759942,5.11765062688241
Minnesota,72572824,3548797,20724196,20306815,20306815,5670738,1.9005065722952976,1.47502374897063,4.889980580058452,2.0349650227836453,28.556413899505962,1.916225106138814,27.981293658904605,1.916225106138814,27.981293658904605,2.4463190213823167,7.813858807533795
Missouri,56626595,2896307,16382151,15671902,15671902,2968367,1.4829134382892974,1.203822481057631,5.114746878211554,1.6086078457740949,28.93013609594573,1.4788578156321948,27.67586855610866,1.4788578156321948,27.67586855610866,1.2805339718646078,5.242001571876253
