State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)",Utilities (State as % of US),Construction (State as % of US),Manufacturing (State as % of US),Wholesale Trade (State as % of US),Retail Trade (State as % of US),Transportation and Warehousing (State as % of US),Information (State as % of US),Finance and Insurance (State as % of US),Real Estate and Rental and Leasing (State as % of US),"Professional, Scientific, and Technical Services (State as % of US)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Educational Services (State as % of US),Health Care and Social Assistance (State as % of US),"Arts, Entertainment, and Recreation (State as % of US)",Accommodation and Food Services (State as % of US),Other Services (except Public Administration) (State as % of US),Public Administration (not covered in economic census) (State as % of US)
Iowa,2541092.0,0.17740026315388405,0.03762460566519062,0.2761772142177202,0.3928119208191771,0.7445332545604221,0.009037370615460895,0.008982289039493893,0.06356430181862471,0.015508428773749684,0.011980053908380885,0.10249700141751172,0.19570493707512363,0.1942352399614842,0.31263094758809945,0.1301327658111424,1.770162260418616,0.0404360918315736,0.368380265687215,0.26048490266496094
Idaho,3529413.0,2.542229086124475,0.8723947027862882,0.06659377393687435,0.6778376215933742,0.3495358075800083,0.0007543230690272337,0.009422597325743591,0.24757543988216205,0.015751063904499353,0.0,2.2718610942359714,0.7996337106915453,1.4239367138902135,0.0712441366832276,0.057179720425469274,0.2480686465823732,0.6092953305717677,0.07895187087594996,0.1625247683294201
Illinois,14778551.0,0.21834660109833726,1.4900997672235934,1.178679482852356,5.081876931525373,1.9795037721281332,12.910478678913393,18.89838389246615,1.5879698947770922,0.43013816790121895,0.13549003470352602,2.605417698646354,2.331147919379055,0.6131339158651021,0.6862788765783441,2.5428334788198605,0.11387633991820151,1.2482124493457347,2.3443752949770085,0.8491020035587614
Indiana,5698176.0,0.12791920464532647,0.12693136196937937,0.23893926930764706,0.573165276940235,1.8008837808591218,0.49395105429704494,0.04182928719372156,0.2047204987872438,0.31530435240919497,0.863797259136804,0.4416613445072719,0.24338736413393156,0.15768283303313543,0.31669586342920625,0.6822898558810235,0.12563821540271058,0.2303916860171054,0.6071957704468395,0.2690478514705152
Kansas,3492234.0,0.666521034530057,0.6139839495912975,1.0407929812789642,0.3640558582191179,0.4286792918210592,0.09242633527513498,0.1751546362701309,0.41018741997193664,0.0427240026061709,0.006646276993460724,0.11651634811595557,0.6681306857518781,1.584648563884823,0.1383152480614892,0.20054575023988833,0.0668288379801652,0.5020254989189055,0.3192770222776171,0.3622127344749457
Kentucky,9941054.0,0.2040204630085906,2.429474537238023,1.9755310828208275,0.9040641286721586,0.19677014399574647,0.03646861914489357,0.10047835092218169,1.9379184534045562,0.007979999855766895,31.317052405940636,0.1164125011033745,0.10943586416420732,2.73820297159043,1.764130231254792,0.6386495675206034,0.5757972680371034,2.433352655784746,0.46105138148558766,0.9688120278604103
Louisiana,3620446.0,0.6642857505727916,3.4407908609419384,0.4989985670717535,2.202893846650079,0.6187451112336411,0.03793374664435031,0.11007707156242515,1.2332030508805776,0.043162093814468915,0.10406450090811507,0.8661879319386679,0.1375848068705679,0.9739064747714463,0.18547259619688203,0.2321377583916697,0.016038921115239645,1.1319418929330205,0.18102517190107947,0.14676894252720019
Massachusetts,26817669.0,1.0695833735515106,0.045480292562318336,4.948402456794889,1.985499212812301,6.484086639591975,9.177594922129199,4.864437884829442,0.3112684352175883,1.893996350902431,0.8206755810244696,0.8671225550518975,3.516320595737512,0.5229932450652832,1.6019876573587302,3.55068771016453,0.3362827127161913,0.22763773291894174,14.858471951559943,5.6070188778769365
Maryland,42435387.0,0.3314316485727204,0.15504645191699432,4.822339129046405,7.94478319308131,2.0786307412996403,10.483313648402474,9.99931311907345,3.567965980435085,10.528558390784502,10.538910205120956,12.424879667274173,11.39584020280658,9.244775314442023,5.135783324417907,3.023058083709977,19.396401935363148,15.875666406272565,7.436280993442837,1.2501905256109236
Maine,2366166.0,0.13807958626926026,0.0,0.008336853338076076,0.20044823198307085,0.7253058040322605,0.2141842329651366,0.008453919095994251,0.01315762515779112,0.006456790423838417,1.6167161871705167,0.02461174198171254,0.033499057675256454,0.06817557089879328,0.05613043363570829,0.1260561947664312,0.015504290411398326,0.0001343391755201781,0.05114259062779583,0.21099105856885722
