State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
North Dakota,10252558,459781,1857432,3041704,3041704,1431935,0.25748883188661853,0.18504056940664168,4.484549124228314,0.17277365337628747,18.11676656693871,0.27520559236281883,29.667757061213408,0.27520559236281883,29.667757061213408,0.5890035305042775,13.966612039649032
Nebraska,23992127,4330249,4168707,7445257,7445257,1819237,0.6025525293985561,1.7427247768666838,18.04862486764929,0.38776264124086546,17.37531232641441,0.6736277964517334,31.032083983216662,0.6736277964517334,31.032083983216662,0.7483140057502682,7.582641589051276
New Hampshire,13300450,167428,2737042,4395305,4395305,817657,0.3340354020983227,0.06738201981946884,1.2588145513873592,0.2545927634413215,20.578566890593926,0.39767594616052687,33.046287907552,0.39767594616052687,33.046287907552,0.3363301125690314,6.147588991349917
New Jersey,114685364,4113261,24708638,40307889,40307889,4853877,2.880276357456515,1.6553971511613843,3.586561402900548,2.298335366900196,21.544717772356723,3.6469546244932936,35.14649785651812,3.6469546244932936,35.14649785651812,1.9965645714599551,4.232342149605071
New Mexico,25762392,886458,8355116,6868597,6868597,1115483,0.6470120161900246,0.356758311185266,3.440899432009264,0.7771718780028951,32.43144503041488,0.6214530756728729,26.661332534649734,0.6214530756728729,26.661332534649734,0.45883606812984035,4.329889087938729
Nevada,29888903,1642351,6279570,7592852,7592852,2420150,0.7506476646942596,0.6609702536763532,5.4948520526163165,0.5841098088824428,21.009703835567333,0.6869818142670074,25.403582058531892,0.6869818142670074,25.403582058531892,0.9954899449695181,8.097152311009875
New York,375228149,32281125,104983117,92586618,92586618,17316793,9.423702628845215,12.991658531098448,8.603065917637219,9.765265520848263,27.978475836576962,8.37700021157878,24.674752746228535,8.37700021157878,24.674752746228535,7.122985480494407,4.615003710715744
Ohio,135718031,3938455,39272496,38216111,38216111,6466635,3.4085032504221755,1.5850458278668216,2.9019393893210843,3.653028811351175,28.936830066448575,3.457695905176255,28.15846259956424,3.457695905176255,28.15846259956424,2.659946747221437,4.764757455109263
Oklahoma,36168441,2248628,9548922,11283971,11283971,2947504,0.9083557122281172,0.9049686818370438,6.21709959796166,0.8882167098150595,26.40125406566459,1.0209448135847108,31.198389225568224,1.0209448135847108,31.198389225568224,1.212408567550538,8.149380837288508
Oregon,60033734,2767064,17043531,16003215,16003215,2909883,1.5077228572081207,1.113615173625312,4.609181897631089,1.585346390770704,28.38992323882436,1.4479299313097354,26.65703752493556,1.4479299313097354,26.65703752493556,1.196933771682638,4.8470798101614
